accountkey|journal_entries_amount|journal_entries_type|productkey|journal_entries_creationdate|assignedbranchkey|userkey|transactionid|entryid|journal_entries_encodedkey|bookingdate|producttype|gl_account_lastmodifieddate|gl_account_usage|gl_account_glcode|gl_account_description|gl_account_type|gl_account_creationdate|gl_account_allowmanualjournalentries|gl_account_name|gl_account_encodedkey|gl_account_striptrailingzeros|gl_account_activated|gl_account_code|gl_account_currencycode
2c9681b985a17e490185cf15af86017b|50.0|DEBIT|2c968230849abc990184c4a368fb003a|2023-12-13T19:46:53+03:00|2c968230849abc990184c467097e0034|2c968b0f86136dc301864a2297500259|20221|40288|2c96825d8c44d0fa018c6412f4b50146|2023-12-13T19:46:53+03:00|SAVINGS|2023-04-12T13:22:24+03:00|DETAIL|200101|Account used for monitoring current deposit account balances.|LIABILITY|2023-01-25T17:43:45+03:00|1|Customer accounts - Current/Checking account|2c96808b85e8dcaa0185e9627faa000c|1|1|SAR|SAR
2c9681b985a17e490185cf15af86017b|50.0|DEBIT|2c968230849abc990184c4a368fb003a|2023-12-13T19:31:23+03:00|2c968230849abc990184c467097e0034|2c968b0f86136dc301864a2297500259|20212|40270|2c96825d8c44d0fa018c6404c546013e|2023-12-13T19:31:23+03:00|SAVINGS|2023-04-12T13:22:24+03:00|DETAIL|200101|Account used for monitoring current deposit account balances.|LIABILITY|2023-01-25T17:43:45+03:00|1|Customer accounts - Current/Checking account|2c96808b85e8dcaa0185e9627faa000c|1|1|SAR|SAR
2c9681b985a17e490185cf15af86017b|50.0|CREDIT|2c968230849abc990184c4a368fb003a|2023-12-13T18:27:03+03:00|2c968230849abc990184c467097e0034|2c968b0f86136dc301864a2297500259|20194|40237|2c9683c78c44d5ed018c63c9dbab0114|2023-12-13T18:27:03+03:00|SAVINGS|2023-03-21T12:49:42+03:00|DETAIL|200811|"Account used for temporarily holding funds before being credited to the final account. 
Applicable for transactions under investigation as part of sanctions screening processes.

"|LIABILITY|2023-02-23T19:43:34+03:00|1|Sanctions Account - Payments|2c968bd1867ed7c301867f27a142000d|1|1|SAR|SAR
2c9681b985a17e490185cf15af86017b|50.0|CREDIT|2c968230849abc990184c4a368fb003a|2023-12-13T18:36:16+03:00|2c968230849abc990184c467097e0034|2c968b0f86136dc301864a2297500259|20206|40261|2c9681228c44db7c018c63d24bad0126|2023-12-13T18:36:16+03:00|SAVINGS|2023-03-21T12:49:42+03:00|DETAIL|200811|"Account used for temporarily holding funds before being credited to the final account. 
Applicable for transactions under investigation as part of sanctions screening processes.

"|LIABILITY|2023-02-23T19:43:34+03:00|1|Sanctions Account - Payments|2c968bd1867ed7c301867f27a142000d|1|1|SAR|SAR
2c9681b985a17e490185cf15af86017b|50.0|CREDIT|2c968230849abc990184c4a368fb003a|2023-12-13T19:44:14+03:00|2c968230849abc990184c467097e0034|2c968b0f86136dc301864a2297500259|20215|40279|2c9681228c44db7c018c641088e1012e|2023-12-13T19:44:14+03:00|SAVINGS|2023-03-21T12:49:42+03:00|DETAIL|200811|"Account used for temporarily holding funds before being credited to the final account. 
Applicable for transactions under investigation as part of sanctions screening processes.

"|LIABILITY|2023-02-23T19:43:34+03:00|1|Sanctions Account - Payments|2c968bd1867ed7c301867f27a142000d|1|1|SAR|SAR
2c9681b985a17e490185cf15af86017b|50.0|CREDIT|2c968230849abc990184c4a368fb003a|2023-12-13T18:01:37+03:00|2c968230849abc990184c467097e0034|2c968b0f86136dc301864a2297500259|20167|40183|2c9683c78c44d5ed018c63b292cd00f4|2023-12-13T18:01:37+03:00|SAVINGS|2023-03-21T12:49:42+03:00|DETAIL|200811|"Account used for temporarily holding funds before being credited to the final account. 
Applicable for transactions under investigation as part of sanctions screening processes.

"|LIABILITY|2023-02-23T19:43:34+03:00|1|Sanctions Account - Payments|2c968bd1867ed7c301867f27a142000d|1|1|SAR|SAR
2c9681b985a17e490185cf15af86017b|50.0|DEBIT|2c968230849abc990184c4a368fb003a|2023-12-13T18:29:30+03:00|2c968230849abc990184c467097e0034|2c968b0f86136dc301864a2297500259|20200|40246|2c9681228c44db7c018c63cc19d2011d|2023-12-13T18:29:30+03:00|SAVINGS|2023-04-12T13:22:24+03:00|DETAIL|200101|Account used for monitoring current deposit account balances.|LIABILITY|2023-01-25T17:43:45+03:00|1|Customer accounts - Current/Checking account|2c96808b85e8dcaa0185e9627faa000c|1|1|SAR|SAR
2c9681b985a17e490185cf15af86017b|50.0|CREDIT|2c968230849abc990184c4a368fb003a|2023-12-13T18:05:53+03:00|2c968230849abc990184c467097e0034|2c968b0f86136dc301864a2297500259|20170|40189|2c9683c78c44d5ed018c63b67d9100fc|2023-12-13T18:05:53+03:00|SAVINGS|2023-03-21T12:49:42+03:00|DETAIL|200811|"Account used for temporarily holding funds before being credited to the final account. 
Applicable for transactions under investigation as part of sanctions screening processes.

"|LIABILITY|2023-02-23T19:43:34+03:00|1|Sanctions Account - Payments|2c968bd1867ed7c301867f27a142000d|1|1|SAR|SAR
2c9681b985a17e490185cf15af86017b|50.0|CREDIT|2c968230849abc990184c4a368fb003a|2023-12-13T18:18:16+03:00|2c968230849abc990184c467097e0034|2c968b0f86136dc301864a2297500259|20179|40207|2c9681228c44db7c018c63c1d18d010e|2023-12-13T18:18:16+03:00|SAVINGS|2023-03-21T12:49:42+03:00|DETAIL|200811|"Account used for temporarily holding funds before being credited to the final account. 
Applicable for transactions under investigation as part of sanctions screening processes.

"|LIABILITY|2023-02-23T19:43:34+03:00|1|Sanctions Account - Payments|2c968bd1867ed7c301867f27a142000d|1|1|SAR|SAR
2c9681b985a17e490185cf15af86017b|10.0|CREDIT|2c968230849abc990184c4a368fb003a|2023-12-13T17:56:31+03:00|2c968230849abc990184c467097e0034|2c968b0f86136dc301864a2297500259|20152|40153|2c96825d8c44d0fa018c63ade8b5011f|2023-12-13T17:56:31+03:00|SAVINGS|2023-03-21T21:13:08+03:00|DETAIL|400366|Account used for registering fees charged to customers for initiating domestic RTGS and IPS transfers.|INCOME|2023-02-24T20:24:15+03:00|1|Remittance Income - Domestic Transfer Fees IPS & RTGS|2c968963868001fe01868474385a0087|1|1|SAR|SAR
2c9681b985a17e490185cf15af86017b|50.0|CREDIT|2c968230849abc990184c4a368fb003a|2023-12-13T18:36:07+03:00|2c968230849abc990184c467097e0034|2c968b0f86136dc301864a2297500259|20203|40255|2c9683c78c44d5ed018c63d22afd011c|2023-12-13T18:36:07+03:00|SAVINGS|2023-03-21T12:49:42+03:00|DETAIL|200811|"Account used for temporarily holding funds before being credited to the final account. 
Applicable for transactions under investigation as part of sanctions screening processes.

"|LIABILITY|2023-02-23T19:43:34+03:00|1|Sanctions Account - Payments|2c968bd1867ed7c301867f27a142000d|1|1|SAR|SAR
2c9681b985a17e490185cf15af86017b|50.0|DEBIT|2c968230849abc990184c4a368fb003a|2023-12-13T18:05:53+03:00|2c968230849abc990184c467097e0034|2c968b0f86136dc301864a2297500259|20170|40186|2c9683c78c44d5ed018c63b67d9100fb|2023-12-13T18:05:53+03:00|SAVINGS|2023-04-12T13:22:24+03:00|DETAIL|200101|Account used for monitoring current deposit account balances.|LIABILITY|2023-01-25T17:43:45+03:00|1|Customer accounts - Current/Checking account|2c96808b85e8dcaa0185e9627faa000c|1|1|SAR|SAR
2c9681b985a17e490185cf15af86017b|50.0|CREDIT|2c968230849abc990184c4a368fb003a|2023-12-13T17:56:31+03:00|2c968230849abc990184c467097e0034|2c968b0f86136dc301864a2297500259|20158|40165|2c96825d8c44d0fa018c63adeabf0127|2023-12-13T17:56:31+03:00|SAVINGS|2023-03-21T12:49:42+03:00|DETAIL|200811|"Account used for temporarily holding funds before being credited to the final account. 
Applicable for transactions under investigation as part of sanctions screening processes.

"|LIABILITY|2023-02-23T19:43:34+03:00|1|Sanctions Account - Payments|2c968bd1867ed7c301867f27a142000d|1|1|SAR|SAR
2c9681b985a17e490185cf15af86017b|10.0|DEBIT|2c968230849abc990184c4a368fb003a|2023-12-13T17:56:31+03:00|2c968230849abc990184c467097e0034|2c968b0f86136dc301864a2297500259|20155|40156|2c9683c78c44d5ed018c63ade9ab00db|2023-12-13T17:56:31+03:00|SAVINGS|2023-04-12T13:22:24+03:00|DETAIL|200101|Account used for monitoring current deposit account balances.|LIABILITY|2023-01-25T17:43:45+03:00|1|Customer accounts - Current/Checking account|2c96808b85e8dcaa0185e9627faa000c|1|1|SAR|SAR
2c9681b985a17e490185cf15af86017b|50.0|DEBIT|2c968230849abc990184c4a368fb003a|2023-12-13T17:59:21+03:00|2c968230849abc990184c467097e0034|2c968b0f86136dc301864a2297500259|20161|40168|2c9683c78c44d5ed018c63b07f9700e3|2023-12-13T17:59:21+03:00|SAVINGS|2023-04-12T13:22:24+03:00|DETAIL|200101|Account used for monitoring current deposit account balances.|LIABILITY|2023-01-25T17:43:45+03:00|1|Customer accounts - Current/Checking account|2c96808b85e8dcaa0185e9627faa000c|1|1|SAR|SAR
2c9681b985a17e490185cf15af86017b|50.0|CREDIT|2c968230849abc990184c4a368fb003a|2023-12-13T18:07:52+03:00|2c968230849abc990184c467097e0034|2c968b0f86136dc301864a2297500259|20173|40195|2c9681228c44db7c018c63b84e8200fe|2023-12-13T18:07:52+03:00|SAVINGS|2023-03-21T12:49:42+03:00|DETAIL|200811|"Account used for temporarily holding funds before being credited to the final account. 
Applicable for transactions under investigation as part of sanctions screening processes.

"|LIABILITY|2023-02-23T19:43:34+03:00|1|Sanctions Account - Payments|2c968bd1867ed7c301867f27a142000d|1|1|SAR|SAR
2c9681b985a17e490185cf15af86017b|50.0|CREDIT|2c968230849abc990184c4a368fb003a|2023-12-13T18:25:04+03:00|2c968230849abc990184c467097e0034|2c968b0f86136dc301864a2297500259|20188|40225|2c96825d8c44d0fa018c63c80dff0137|2023-12-13T18:25:04+03:00|SAVINGS|2023-03-21T12:49:42+03:00|DETAIL|200811|"Account used for temporarily holding funds before being credited to the final account. 
Applicable for transactions under investigation as part of sanctions screening processes.

"|LIABILITY|2023-02-23T19:43:34+03:00|1|Sanctions Account - Payments|2c968bd1867ed7c301867f27a142000d|1|1|SAR|SAR
2c9681b985a17e490185cf15af86017b|50.0|DEBIT|2c968230849abc990184c4a368fb003a|2023-12-13T18:36:07+03:00|2c968230849abc990184c467097e0034|2c968b0f86136dc301864a2297500259|20203|40252|2c9683c78c44d5ed018c63d22afd011b|2023-12-13T18:36:07+03:00|SAVINGS|2023-04-12T13:22:24+03:00|DETAIL|200101|Account used for monitoring current deposit account balances.|LIABILITY|2023-01-25T17:43:45+03:00|1|Customer accounts - Current/Checking account|2c96808b85e8dcaa0185e9627faa000c|1|1|SAR|SAR
2c9681b985a17e490185cf15af86017b|50.0|DEBIT|2c968230849abc990184c4a368fb003a|2023-12-13T18:18:26+03:00|2c968230849abc990184c467097e0034|2c968b0f86136dc301864a2297500259|20182|40210|2c9683c78c44d5ed018c63c1fa8a0103|2023-12-13T18:18:26+03:00|SAVINGS|2023-04-12T13:22:24+03:00|DETAIL|200101|Account used for monitoring current deposit account balances.|LIABILITY|2023-01-25T17:43:45+03:00|1|Customer accounts - Current/Checking account|2c96808b85e8dcaa0185e9627faa000c|1|1|SAR|SAR
2c9681b985a17e490185cf15af86017b|50.0|CREDIT|2c968230849abc990184c4a368fb003a|2023-12-13T18:01:04+03:00|2c968230849abc990184c467097e0034|2c968b0f86136dc301864a2297500259|20164|40177|2c9683c78c44d5ed018c63b212ad00ec|2023-12-13T18:01:04+03:00|SAVINGS|2023-03-21T12:49:42+03:00|DETAIL|200811|"Account used for temporarily holding funds before being credited to the final account. 
Applicable for transactions under investigation as part of sanctions screening processes.

"|LIABILITY|2023-02-23T19:43:34+03:00|1|Sanctions Account - Payments|2c968bd1867ed7c301867f27a142000d|1|1|SAR|SAR
2c9681b985a17e490185cf15af86017b|50.0|DEBIT|2c968230849abc990184c4a368fb003a|2023-12-13T19:44:33+03:00|2c968230849abc990184c467097e0034|2c968b0f86136dc301864a2297500259|20218|40282|2c9683c78c44d5ed018c6410d13f012b|2023-12-13T19:44:33+03:00|SAVINGS|2023-04-12T13:22:24+03:00|DETAIL|200101|Account used for monitoring current deposit account balances.|LIABILITY|2023-01-25T17:43:45+03:00|1|Customer accounts - Current/Checking account|2c96808b85e8dcaa0185e9627faa000c|1|1|SAR|SAR
2c9681b985a17e490185cf15af86017b|50.0|DEBIT|2c968230849abc990184c4a368fb003a|2023-12-13T18:27:03+03:00|2c968230849abc990184c467097e0034|2c968b0f86136dc301864a2297500259|20194|40234|2c9683c78c44d5ed018c63c9dbab0113|2023-12-13T18:27:03+03:00|SAVINGS|2023-04-12T13:22:24+03:00|DETAIL|200101|Account used for monitoring current deposit account balances.|LIABILITY|2023-01-25T17:43:45+03:00|1|Customer accounts - Current/Checking account|2c96808b85e8dcaa0185e9627faa000c|1|1|SAR|SAR
2c9681b985a17e490185cf15af86017b|50.0|DEBIT|2c968230849abc990184c4a368fb003a|2023-12-13T18:24:55+03:00|2c968230849abc990184c467097e0034|2c968b0f86136dc301864a2297500259|20185|40216|2c96825d8c44d0fa018c63c7e9bc012e|2023-12-13T18:24:55+03:00|SAVINGS|2023-04-12T13:22:24+03:00|DETAIL|200101|Account used for monitoring current deposit account balances.|LIABILITY|2023-01-25T17:43:45+03:00|1|Customer accounts - Current/Checking account|2c96808b85e8dcaa0185e9627faa000c|1|1|SAR|SAR
2c9681b985a17e490185cf15af86017b|50.0|DEBIT|2c968230849abc990184c4a368fb003a|2023-12-13T19:04:21+03:00|2c968230849abc990184c467097e0034|2c968b0f86136dc301864a2297500259|20209|40264|2c9683c78c44d5ed018c63ec02430123|2023-12-13T19:04:21+03:00|SAVINGS|2023-04-12T13:22:24+03:00|DETAIL|200101|Account used for monitoring current deposit account balances.|LIABILITY|2023-01-25T17:43:45+03:00|1|Customer accounts - Current/Checking account|2c96808b85e8dcaa0185e9627faa000c|1|1|SAR|SAR
2c9681b985a17e490185cf15af86017b|50.0|DEBIT|2c968230849abc990184c4a368fb003a|2023-12-13T18:29:09+03:00|2c968230849abc990184c467097e0034|2c968b0f86136dc301864a2297500259|20197|40240|2c9681228c44db7c018c63cbca6f0115|2023-12-13T18:29:09+03:00|SAVINGS|2023-04-12T13:22:24+03:00|DETAIL|200101|Account used for monitoring current deposit account balances.|LIABILITY|2023-01-25T17:43:45+03:00|1|Customer accounts - Current/Checking account|2c96808b85e8dcaa0185e9627faa000c|1|1|SAR|SAR
